archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-scopecontent-p-title,1
archdesc-bibliography-p,93
archdesc-dsc-c01-arrangement-p-title,7
archdesc-dsc-c01-c02-c03-c04-c05-c06-did-note-p,192
archdesc-dsc-c01-c02-c03-did-unitid,359085
archdesc-bioghist-chronlist-chronitem-div-event,46
archdesc-dsc-c01-c02-c03-bioghist-note-p,9
archdesc-dsc-c01-arrangement-p-list-item-title,4
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-physdesc,730
archdesc-separatedmaterial-p-list-item-list-item,115
archdesc-dsc-c01-c02-c03-c04-c05-did-container,133609
archdesc-dsc-c01-c02-scopecontent-p-famname,11
archdesc-dsc-c01-c02-bioghist-p-list-item,3
archdesc-dsc-c01-scopecontent-p-bibref-imprint-geogname,1
archdesc-dsc-c01-bioghist-p,345
archdesc-relatedmaterial-p,713
archdesc-dsc-c01-processinfo-p-em,2
archdesc-dsc-c01-c02-c03-scopecontent-note-p-emph,2
archdesc-dsc-c01-c02-c03-scopecontent-p,65756
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-genreform,1
archdesc-arrangement-p-list-item-persname,3
archdesc-did-container,6
archdesc-bioghist-chronlist-chronitem-event-persname,7
archdesc-did-abstract,8133
archdesc-dsc-c01-dao,3
archdesc-dsc-c01-did-physdesc-genreform,2
archdesc-dsc-c01-c02-c03-did-origination-persname,2325
archdesc-separatedmaterial-list-item-emph-emph,1
archdesc-bibliography-bibref-title,20
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-container,18155
archdesc-processinfo-p-p-name,1
archdesc-dsc-c01-scopecontent-list-item-persname,38
archdesc-bioghist-blockquote-p-title,1
archdesc-processinfo-p-date,482
archdesc-dsc-c01-c02-c03-did-physdesc-br,782
archdesc-dsc-c01-c02-c03-c04-c05-did-note-p,438
archdesc-dsc-c01-controlaccess-genreform,73
archdesc-prefercite-p-title,12
archdesc-separatedmaterial-p-list-item-list-item-list-item-list-item-title,10
archdesc-acqinfo-p-title,9
archdesc-dsc-c01-c02-arrangement-p-title,3
archdesc-dsc-c01-did-physdesc-title,8
archdesc-relatedmaterial-p-list-item,11
archdesc-bioghist-p-list-item-list-item,57
archdesc-dsc-c01-c02-c03-c04-did-physdesc-br,34
archdesc-acqinfo-p-em,13
archdesc-dsc-c01-did-origination-persname,2633
archdesc-relatedmaterial-list-item,28
archdesc-separatedmaterial-p-list-head,3
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-did-physdesc,66
archdesc-index-p,8
archdesc-separatedmaterial-p-list-item-list-item-list-item,26
archdesc-dsc-c01-did-physdesc,10730
archdesc-dsc-c01-c02-scopecontent-p-p-title,2
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-note-p,84
archdesc-bioghist-p-geogname,8
archdesc-dsc-c01-c02-c03-c04-did-container,283557
eadheader-filedesc-titlestmt-author,990
archdesc-dsc-c01-bioghist-head,1
archdesc-bioghist-bioghist-bioghist-p,3
archdesc-scopecontent-p-occupation,3
archdesc-dsc-c01-c02-c03-did-physdesc-dimensions,1410
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-geogname,23
archdesc-dsc-c01-did-note-p,3998
archdesc-dsc-c01-c02-did-physloc-emph,4
archdesc-dsc-c01-arrangement-list-item-list-item,8
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-c10-did-container,64
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-unitid,10750
archdesc-dsc-c01-c02-c03-c04-did-physdesc-physfacet,71
archdesc-dsc-c01-c02-c03-c04-controlaccess-title,5793
archdesc-dsc-c01-processinfo-p,15
archdesc-scopecontent-p-persname,1743
archdesc-separatedmaterial-p-list-item-item,4
archdesc-separatedmaterial-p-list-item,874
eadheader-profiledesc-langusage-language,9547
archdesc-separatedmaterial-p-list-item-note-p,1
archdesc-bioghist-p-corpname,97
archdesc-dsc-c01-did-container,55951
archdesc-dsc-c01-controlaccess-corpname,242
archdesc-scopecontent-p-corpname,162
archdesc-separatedmaterial-p-list-item-list-item-title,382
archdesc-did-abstract-title,359
archdesc-dsc-c01-c02-c03-c04-did-physdesc-title,10
archdesc-dsc-c01-c02-c03-scopecontent-arrangement-p,1
archdesc-custodhist-p-em,22
archdesc-arrangement-p-list-item-list-item-date,12
archdesc-bioghist-note-p,1
archdesc-separatedmaterial-list-item-list-item-emph,7
archdesc-bioghist-p-chronlist-chronitem-event-em,120
archdesc-relatedmaterial-p-title,9
archdesc-arrangement-list-item-list-item,288
archdesc-did-origination,297
archdesc-altformavail-p-num,3
archdesc-dsc-c01-c02-c03-scopecontent-p-date,53
archdesc-dsc-c01-c02-c03-controlaccess-geogname,10
archdesc-did-abstract-?,1
archdesc-scopecontent-p-note-p,4
archdesc-scopecontent-p-title-date,6
archdesc-dsc-c01-scopecontent-p-bibref-title,2
archdesc-bibliography-list-item-persname,2
archdesc-did-abstract-cc,1
archdesc-dsc-c01-scopecontent-p-subject,19
archdesc-dsc-c01-c02-scopecontent-p,76899
archdesc-dsc-c01-c02-index-indexentry-name,485
archdesc-arrangement-p-list-item-corpname,1
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-did-container,4105
archdesc-scopecontent-p-genreform,43
eadheader-eadid,9547
archdesc-scopecontent-p-list-item-corpname,23
archdesc-dsc-c01-separatedmaterial-p,3
archdesc-dsc-c01-c02-did-container,362079
archdesc-arrangement-p-list-item-list-item-geogname,2
archdesc-scopecontent-p-list-item-geogname,3
archdesc-dsc-c01-c02-c03-controlaccess-corpname,2096
archdesc-bioghist-p-note-p-emph,3
archdesc-did-unittitle,9547
archdesc-dsc-c01-c02-c03-c04-did-unittitle,157156
archdesc-did-unitid,17640
archdesc-dsc-c01-c02-c03-c04-bibliography-p,12
archdesc-dsc-c01-c02-scopecontent-p-list-item-em,35
archdesc-did-physdesc-extent-ca.,1
archdesc-did-abstract-chronlist-chronitem-event-em,28
archdesc-dsc-c01-c02-did-origination,7
archdesc-dsc-c01-c02-c03-c04-c05-controlaccess-corpname,26
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-unittitle,10579
archdesc-dsc-c01-controlaccess-geogname,1
archdesc-dsc-c01-c02-c03-originalsloc-p,1087
archdesc-separatedmaterial-list-item-corpname,2
archdesc-dsc-c01-c02-c03-c04-c05-scopecontent-p-date,2
archdesc-dsc-c01-c02-c03-c04-c05-c06-did-unittitle,29333
archdesc-dsc-c01-c02-c03-did,1
archdesc-dsc-c01-controlaccess-subject,90
archdesc-did-materialspec,1
archdesc-scopecontent-p-list-head,4
archdesc-dsc-c01-c02-c03-controlaccess-persname,15649
archdesc-separatedmaterial-list-item-list-item-date,3
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-did-note-p,6
archdesc-processinfo-p-p-date,1
archdesc-dsc-c01-userestrict-p,1
archdesc-did-origination-title,1
archdesc-dsc-c01-c02-c03-c04-scopecontent-note-p,2
archdesc-dsc-c01-arrangement-p-emph,1
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-did-unitid,580
archdesc-bioghist-p-famname,2
archdesc-dsc-c01-c02-dao,4946
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-unitdate,4324
archdesc-scopecontent-p,8549
archdesc-separatedmaterial-p-p,4
archdesc-did-physdesc-dimensions,561
archdesc-scopecontent-p-loss,1
archdesc-dsc-c01-c02-c03-scopecontent-p-corpname,121
archdesc-dsc-c01-c02-bioghist-p-em,2
archdesc-dsc-c01-c02-processinfo-p,1
archdesc-did-abstract-geogname,5
archdesc-dsc-c01-c02-c03-did-unitdate,257520
archdesc-dsc-c01-scopecontent-p-list-item-date,8
archdesc-arrangement-p-list-item-title,22
archdesc-dsc-c01-arrangement-p-list-item-list-item,32
archdesc-dsc-c01-c02-c03-bioghist-p,30
archdesc-dsc-c01-c02-scopecontent-p-subject,4
archdesc-dsc-c01-c02-c03-arrangement-p,72
archdesc-scopecontent-p-emph,161
archdesc-dsc-c01-c02-c03-c04-c05-scopecontent-p-persname,1
archdesc-dsc-c01-c02-did-physdesc-br,933
archdesc-dsc-c01-c02-c03-c04-did-physloc-emph,1
